Market,Selection,BidType,Odds,Stake,ProfitLoss,Date 
10 December  / Leicester v Man City / Match Odds,Leicester,Lay,1.18,5,-0.9,12/10/2016
10 December  / Leicester v Man City / Match Odds,Leicester,Lay,1.56,3,-1.68,12/10/2016
10 December  / Leicester v Man City / Match Odds,Leicester,Lay,1.57,7,-3.99,12/10/2016
10 December  / Ingolstadt v RB Leipzig / Match Odds,Ingolstadt,Lay,1.2,5,-1,12/10/2016
10 December  / Ingolstadt v RB Leipzig / Match Odds,The Draw,Back,3.65,2,-2,12/10/2016
10 December  / Ingolstadt v RB Leipzig / Match Odds,The Draw,Back,3.45,2,-2,12/10/2016
10 December  / Sociedad v Valencia / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,1.19,5,-0.95,12/10/2016
10 December  / Sociedad v Valencia / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,1.18,2,-0.36,12/10/2016
10 December  / Sociedad v Valencia / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.91,7,6.37,12/10/2016
10 December  / Ingolstadt v RB Leipzig / Match Odds,RB Leipzig,Back,1.82,12,-12,12/10/2016
11 December  / Benfica v Sporting Lisbon / Match Odds,Benfica,Lay,1.5,6,-3,12/11/2016
11 December  / Schalke v Leverkusen / Match Odds,Leverkusen,Lay,1.05,0.24,-0.01,12/11/2016
11 December  / Schalke v Leverkusen / Match Odds,Leverkusen,Lay,1.05,24.67,-1.24,12/11/2016
11 December  / Schalke v Leverkusen / Match Odds,Leverkusen,Back,3,2,4,12/11/2016
11 December  / Celta Vigo v Sevilla / Over/Under 2.5 Goals,Under 2.5 Goals,Back,1.32,16.58,-16.58,12/11/2016
11 December  / Schalke v Leverkusen / Match Odds,Leverkusen,Back,1.68,12,8.16,12/11/2016
11 December  / Man Utd v Tottenham / Match Odds,Man Utd,Lay,1.12,9,-1.08,12/11/2016
11 December  / Atalanta v Udinese / Match Odds,Udinese,Lay,1.73,0.14,-0.1,12/11/2016
11 December  / Lyon v Rennes / Match Odds,Lyon,Lay,1.13,0.1,-0.01,12/11/2016
11 December  / Lyon v Rennes / Match Odds,Lyon,Back,1.12,12.58,1.51,12/11/2016
11 December  / Lyon v Rennes / Match Odds,Lyon,Lay,1.27,3,-0.81,12/11/2016
11 December  / Atalanta v Udinese / Match Odds,Udinese,Back,8.61,1.47,11.19,12/11/2016
11 December  / Celta Vigo v Sevilla / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.81,12,9.72,12/11/2016
11 December  / Atalanta v Udinese / Match Odds,Udinese,Lay,2.48,5,-7.4,12/11/2016
11 December  / Lyon v Rennes / Match Odds,Lyon,Lay,1.27,8,-2.16,12/11/2016
12 December  / Roma v AC Milan / Match Odds,Roma,Lay,1.27,4,-1.08,12/12/2016
12 December  / Villarreal v Atletico Madrid / Match Odds,Villarreal,Lay,1.28,4,-1.12,12/12/2016
12 December  / Villarreal v Atletico Madrid / Match Odds,Villarreal,Lay,2,6,-6,12/12/2016
12 December  / Fiorentina v Sassuolo / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,1.37,2,-0.74,12/12/2016
12 December  / Fiorentina v Sassuolo / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,1.2,5,-1,12/12/2016
12 December  / Fiorentina v Sassuolo / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.78,9,7.02,12/12/2016
16 December  / Hoffenheim v Dortmund / Match Odds,The Draw,Lay,1.33,3,-0.99,12/16/2016
16 December  / Alaves v Betis / Match Odds,Alaves,Lay,1.29,10,-2.9,12/16/2016
16 December  / Norwich v Huddersfield / Match Odds,Huddersfield,Lay,1.53,2,-1.06,12/16/2016
16 December  / Hoffenheim v Dortmund / Match Odds,Hoffenheim,Back,2.6,2,-2,12/16/2016
16 December  / Angers v Nantes / Match Odds,Nantes,Lay,1.63,5,-3.15,12/16/2016
16 December  / Norwich v Huddersfield / Match Odds,Huddersfield,Lay,1.78,5,-3.9,12/16/2016
16 December  / Hoffenheim v Dortmund / Match Odds,Hoffenheim,Back,1.45,8.12,-8.12,12/16/2016
16 December  / Hoffenheim v Dortmund / Match Odds,Hoffenheim,Lay,2.34,5,5,12/16/2016
16 December  / Norwich v Huddersfield / Match Odds,Huddersfield,Lay,1.78,5,-3.9,12/16/2016
16 December  / Norwich v Huddersfield / Match Odds,Huddersfield,Lay,1.53,2,-1.06,12/16/2016
17 December  / AC Milan v Atalanta / Match Odds,Atalanta,Lay,3.85,4,4,12/17/2016
17 December  / AC Milan v Atalanta / Match Odds,Atalanta,Back,3.85,4.05,-4.05,12/17/2016
17 December  / AC Milan v Atalanta / Match Odds,AC Milan,Back,4.4,3,-3,12/17/2016
17 December  / AC Milan v Atalanta / Over/Under 1.5 Goals,Over 1.5 Goals,Back,1.8,5,-5,12/17/2016
17 December  / AC Milan v Atalanta / Over/Under 1.5 Goals,Over 1.5 Goals,Back,1.87,5,-5,12/17/2016
17 December  / AC Milan v Atalanta / Over/Under 1.5 Goals,Over 1.5 Goals,Back,2.52,2,-2,12/17/2016
17 December  / AC Milan v Atalanta / Over/Under 2.5 Goals,Over 2.5 Goals,Back,2.5,2,-2,12/17/2016
17 December  / Augsburg v Mgladbach / Both teams to Score?,Yes,Back,1.98,3,-3,12/17/2016
17 December  / Birmingham v Brighton / Over/Under 1.5 Goals,Over 1.5 Goals,Back,1.9,8,7.2,12/17/2016
17 December  / Birmingham v Brighton / Over/Under 1.5 Goals,Over 1.5 Goals,Back,2.58,2,3.16,12/17/2016
17 December  / Burton v Newcastle / Match Odds,Burton,Lay,6.2,5,5,12/17/2016
17 December  / C Palace v Chelsea / Match Odds,C Palace,Lay,6.8,7,7,12/17/2016
17 December  / Estoril Praia v Benfica / Match Odds,Benfica,Back,1.51,8,4.08,12/17/2016
17 December  / Estoril Praia v Benfica / Match Odds,Benfica,Lay,1.1,5,-0.5,12/17/2016
17 December  / Granada v Sociedad / Match Odds,Sociedad,Back,2.04,7,7.28,12/17/2016
17 December  / Granada v Sociedad / Match Odds,Sociedad,Back,2,3,3,12/17/2016
17 December  / Granada v Sociedad / Match Odds,Sociedad,Back,2.16,5,5.8,12/17/2016
17 December  / Granada v Sociedad / Match Odds,The Draw,Back,5.8,3,-3,12/17/2016
17 December  / Granada v Sociedad / Match Odds,Sociedad,Lay,1.25,10.85,-2.71,12/17/2016
17 December  / Granada v Sociedad / Match Odds,Granada,Back,32,0.58,-0.58,12/17/2016
17 December  / Guingamp v Paris St-G / Match Odds,Paris St-G,Back,1.84,5,-5,12/17/2016
17 December  / Guingamp v Paris St-G / Match Odds,The Draw,Back,3,2,-2,12/17/2016
17 December  / Guingamp v Paris St-G / Match Odds,The Draw,Back,3,2,-2,12/17/2016
17 December  / Guingamp v Paris St-G / Match Odds,Guingamp,Lay,1.16,6,-0.96,12/17/2016
17 December  / Rennes v SC Bastia / Match Odds,SC Bastia,Lay,1.32,7,-2.24,12/17/2016
17 December  / Schalke v Freiburg / Match Odds,Freiburg,Lay,1.61,5,5,12/17/2016
17 December  / Schalke v Freiburg / Match Odds,Freiburg,Back,8.8,0.91,-0.91,12/17/2016
17 December  / Schalke v Freiburg / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.8,8,-8,12/17/2016
17 December  / Schalke v Freiburg / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,5.8,2.44,2.44,12/17/2016
17 December  / Sevilla v Malaga / Match Odds,Sevilla,Back,1.58,7,4.06,12/17/2016
17 December  / West Ham v Hull / Both teams to Score?,Yes,Back,1.86,2,-2,12/17/2016
17 December  / West Ham v Hull / Both teams to Score?,Yes,Back,1.86,7,-7,12/17/2016
17 December  / West Ham v Hull / Both teams to Score?,No,Back,1.33,13.18,4.35,12/17/2016
17 December  / West Ham v Hull / Match Odds,West Ham,Lay,1.18,5,-0.9,12/17/2016
18 December  / Barcelona v Espanyol / Match Odds,Barcelona,Lay,1.12,17,-2.04,12/18/2016
18 December  / Caen v Metz / Over/Under 2.5 Goals,Over 2.5 Goals,Back,2.06,5,5.3,12/18/2016
18 December  / Chievo v Sampdoria / Match Odds,Chievo,Lay,1.53,8,-4.24,12/18/2016
18 December  / Genoa v Palermo / Match Odds,Genoa,Back,1.55,2,-2,12/18/2016
18 December  / Genoa v Palermo / Match Odds,Genoa,Back,1.54,8,-8,12/18/2016
18 December  / Genoa v Palermo / Match Odds,Genoa,Back,1.89,5,-5,12/18/2016
18 December  / Genoa v Palermo / Match Odds,The Draw,Back,7.2,2,-2,12/18/2016
18 December  / Genoa v Palermo / Match Odds,Genoa,Lay,1.16,5,5,12/18/2016
18 December  / Genoa v Palermo / Match Odds,Genoa,Lay,6.2,0.75,0.75,12/18/2016
18 December  / Genoa v Palermo / Match Odds,Palermo,Back,36,0.45,15.75,12/18/2016
18 December  / Genoa v Palermo / Match Odds,Palermo,Lay,1.16,1.55,-0.25,12/18/2016
18 December  / Lazio v Fiorentina / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.8,6,4.8,12/18/2016
18 December  / Man City v Arsenal / Match Odds,Arsenal,Lay,1.79,5,5,12/18/2016
18 December  / Man City v Arsenal / Match Odds,Man City,Lay,2.9,3.08,-5.85,12/18/2016
18 December  / Man City v Arsenal / Match Odds,The Draw,Lay,2.2,4.06,4.06,12/18/2016
18 December  / Man City v Arsenal / Match Odds,Man City,Lay,1.23,2,-0.46,12/18/2016
18 December  / Monaco v Lyon / Match Odds,Lyon,Lay,2.04,4,-4.16,12/18/2016
18 December  / Monaco v Lyon / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.87,5,4.35,12/18/2016
18 December  / Monaco v Lyon / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,1.89,4.92,-4.38,12/18/2016
18 December  / Nice v Dijon / Over/Under 1.5 Goals,Over 1.5 Goals,Back,1.7,7,4.9,12/18/2016
18 December  / QPR v Aston Villa / Match Odds,Aston Villa,Back,3.75,2,5.5,12/18/2016
18 December  / Sporting Lisbon v Braga / Match Odds,Sporting Lisbon,Back,2.14,3,-3,12/18/2016
18 December  / Sporting Lisbon v Braga / Match Odds,Braga,Lay,1.7,2,-1.4,12/18/2016
18 December  / Sporting Lisbon v Braga / Match Odds,Braga,Lay,1.21,2,-0.42,12/18/2016
19 December  / Athletic Bilbao v Celta Vigo / Match Odds,Athletic Bilbao,Back,2.36,2,2.72,12/19/2016
19 December  / Athletic Bilbao v Celta Vigo / Match Odds,Celta Vigo,Lay,1.69,5,5,12/19/2016
19 December  / Athletic Bilbao v Celta Vigo / Match Odds,Athletic Bilbao,Lay,4.5,1,-3.5,12/19/2016
19 December  / Athletic Bilbao v Celta Vigo / Match Odds,Celta Vigo,Back,22,0.38,-0.38,12/19/2016
19 December  / Athletic Bilbao v Celta Vigo / Match Odds,The Draw,Lay,1.12,3,3,12/19/2016
19 December  / Everton v Liverpool / Match Odds,Liverpool,Back,2.24,2,2.48,12/19/2016
19 December  / Everton v Liverpool / Match Odds,Liverpool,Back,2.64,2,3.28,12/19/2016
19 December  / Everton v Liverpool / Match Odds,Liverpool,Back,2.6,2,3.2,12/19/2016
19 December  / Everton v Liverpool / Match Odds,Liverpool,Lay,8.2,1.78,-12.82,12/19/2016
20 December  / Dortmund v Augsburg / Match Odds,Dortmund,Back,1.93,5,-5,12/20/2016
20 December  / Mgladbach v Wolfsburg / Match Odds,Wolfsburg,Lay,1.58,5,-2.9,12/20/2016
21 December  / Hertha Berlin v SV Darmstadt / Match Odds,Hertha Berlin,Back,2.2,4,4.8,12/21/2016
21 December  / Hertha Berlin v SV Darmstadt / Match Odds,Hertha Berlin,Lay,1.21,3,-0.63,12/21/2016
21 December  / Inter v Lazio / Match Odds,Inter,Lay,1.08,5,-0.4,12/21/2016
21 December  / Lille v Rennes / Match Odds,Rennes,Lay,1.89,6,6,12/21/2016
21 December  / Lille v Rennes / Match Odds,Rennes,Lay,1.36,2,2,12/21/2016
21 December  / Lille v Rennes / Match Odds,The Draw,Lay,1.12,6,-0.72,12/21/2016
21 December  / Lille v Rennes / Match Odds,The Draw,Lay,1.09,2,-0.18,12/21/2016
21 December  / Metz v Guingamp / Match Odds,Metz,Lay,1.88,5,5,12/21/2016
21 December  / Metz v Guingamp / Match Odds,Guingamp,Lay,55,0.03,0.03,12/21/2016
21 December  / Metz v Guingamp / Match Odds,The Draw,Lay,1.06,8.7,-0.52,12/21/2016
22 December  / Cagliari v Sassuolo / Match Odds,Sassuolo,Lay,2.76,4,4,12/22/2016
22 December  / Cagliari v Sassuolo / Match Odds,Sassuolo,Back,12,1,-1,12/22/2016
22 December  / Fiorentina v Napoli / Correct Score,3-2,Lay,1.27,4,4,12/22/2016
22 December  / Roma v Chievo / Match Odds,Chievo,Lay,3.65,5,5,12/22/2016
22 December  / Roma v Chievo / Match Odds,Chievo,Back,170,0.14,-0.14,12/22/2016
22 December  / Sampdoria v Udinese / Match Odds,Sampdoria,Back,3.1,2,-2,12/22/2016
22 December  / Torino v Genoa / Over/Under 1.5 Goals,Over 1.5 Goals,Back,2.12,2,-2,12/22/2016
22 December  / Torino v Genoa / Over/Under 2.5 Goals,Over 2.5 Goals,Back,2.37,4,-4,12/22/2016
22 December  / Torino v Genoa / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,2.36,4.02,4.02,12/22/2016
26 December  / Arsenal v West Brom / Match Odds,Arsenal,Back,1.55,7,3.85,12/26/2016
26 December  / Arsenal v West Brom / Match Odds,Arsenal,Back,1.75,2,1.5,12/26/2016
26 December  / Arsenal v West Brom / Match Odds,Arsenal,Back,1.82,3,2.46,12/26/2016
26 December  / Arsenal v West Brom / Match Odds,Arsenal,Back,2.74,2,3.48,12/26/2016
26 December  / Arsenal v West Brom / Match Odds,Arsenal,Back,3.5,2,5,12/26/2016
26 December  / Arsenal v West Brom / Match Odds,Arsenal,Lay,1.08,29.62,-2.37,12/26/2016
26 December  / Burnley v Middlesbrough / Match Odds,Burnley,Back,3.15,3,6.45,12/26/2016
26 December  / Burnley v Middlesbrough / Match Odds,Middlesbrough,Back,5.4,3,-3,12/26/2016
26 December  / Burnley v Middlesbrough / Match Odds,Burnley,Lay,5.1,1.81,-7.42,12/26/2016
26 December  / Burnley v Middlesbrough / Match Odds,Burnley,Lay,1.2,5,-1,12/26/2016
26 December  / Burnley v Middlesbrough / Match Odds,Burnley,Lay,1.12,7,-0.84,12/26/2016
26 December  / Leicester v Everton / Match Odds,Everton,Lay,1.48,6,-2.88,12/26/2016
26 December  / Leicester v Everton / Match Odds,Everton,Lay,1.26,4,-1.04,12/26/2016
26 December  / Watford v C Palace / Match Odds,The Draw,Lay,1.31,3,-0.93,12/26/2016
26 December  / Watford v C Palace / Over/Under 2.5 Goals,Over 2.5 Goals,Back,2.14,3,-3,12/26/2016
28 December / Southampton v Tottenham / Over/Under 2.5 Goals,Under 2.5 Goals,Back,1.79,5,-5,12/28/2016
28 December / Southampton v Tottenham / Over/Under 2.5 Goals,Under 2.5 Goals,Back,3.25,2,-2,12/28/2016
28 December / Southampton v Tottenham / Over/Under 2.5 Goals,Under 2.5 Goals,Lay,7.2,2.08,2.08,12/28/2016
29 December  / Aston Villa v Leeds / Match Odds,Leeds,Lay,1.49,4,4,12/29/2016
29 December  / Aston Villa v Leeds / Match Odds,Leeds,Lay,1.38,3,3,12/29/2016
29 December  / Aston Villa v Leeds / Match Odds,Leeds,Back,11,1.03,-1.03,12/29/2016
29 December  / Aston Villa v Leeds / Match Odds,The Draw,Lay,1.18,3,-0.54,12/29/2016
30 December  / Hull v Everton / Match Odds,Hull,Lay,1.44,4,4,12/30/2016
30 December  / Hull v Everton / Match Odds,Hull,Lay,1.28,3,3,12/30/2016
30 December  / Hull v Everton / Match Odds,Hull,Back,9.6,1,-1,12/30/2016
30 December  / Hull v Everton / Match Odds,The Draw,Lay,1.24,4,-0.96,12/30/2016
30 December  / Newcastle v Nottm Forest / Match Odds,Newcastle,Back,1.55,8,4.4,12/30/2016
30 December  / Newcastle v Nottm Forest / Match Odds,Newcastle,Lay,1.08,4,-0.32,12/30/2016
30 December  / Newcastle v Nottm Forest / Match Odds,Newcastle,Lay,1.07,7.48,-0.52,12/30/2016
31 December  / Barnsley v Birmingham / Match Odds,Birmingham,Back,2.66,3,-3,12/31/2016
31 December  / Barnsley v Birmingham / Match Odds,Birmingham,Lay,3.95,1.99,1.99,12/31/2016
31 December  / Brentford v Norwich / Match Odds,Norwich,Back,2.98,3,-3,12/31/2016
31 December  / Brentford v Norwich / Match Odds,Norwich,Lay,3.05,2.88,2.88,12/31/2016
31 December  / Chelsea v Stoke / Match Odds,Chelsea,Back,1.82,5,4.1,12/31/2016
31 December  / Chelsea v Stoke / Match Odds,Chelsea,Lay,1.12,8.05,-0.97,12/31/2016
31 December  / Derby v Wigan / Match Odds,Derby,Back,1.94,3,-3,12/31/2016
31 December  / Derby v Wigan / Match Odds,Derby,Back,1.95,2,-2,12/31/2016
31 December  / Leicester v West Ham / Match Odds,Leicester,Lay,1.34,6,-2.04,12/31/2016
31 December  / Liverpool v Man City / Match Odds,Liverpool,Lay,1.61,5,-3.05,12/31/2016
31 December  / Liverpool v Man City / Match Odds,Liverpool,Lay,1.51,4,-2.04,12/31/2016
31 December  / Man Utd v Middlesbrough / Match Odds,Middlesbrough,Lay,2.4,4,4,12/31/2016
31 December  / Man Utd v Middlesbrough / Match Odds,Middlesbrough,Lay,1.65,3,3,12/31/2016
31 December  / Man Utd v Middlesbrough / Match Odds,Middlesbrough,Back,17,0.88,-0.88,12/31/2016
31 December  / Wolves v QPR / Match Odds,Wolves,Back,1.97,4,-4,12/31/2016
31 December  / Wolves v QPR / Match Odds,QPR,Lay,1.95,2,-1.9,12/31/2016
01 January   / Arsenal v C Palace / Match Odds,Arsenal,Lay,1.14,7,-0.98,1/1/2017
01 January   / Arsenal v C Palace / Match Odds,C Palace,Lay,44,0.17,0.17,1/1/2017
01 January   / Arsenal v C Palace / Match Odds,The Draw,Lay,9.8,0.79,0.79,1/1/2017
01 January   / Watford v Tottenham / Match Odds,Tottenham,Lay,1.04,7,-0.28,1/1/2017
01 January   / Watford v Tottenham / Match Odds,Tottenham,Lay,1.01,4.8,-0.05,1/1/2017
01 January   / Watford v Tottenham / Match Odds,Tottenham,Back,1.74,7,5.18,1/1/2017
02 January   / Middlesbrough v Leicester / Match Odds,Leicester,Back,3.05,3,-3,1/2/2017
02 January   / Middlesbrough v Leicester / Match Odds,Leicester,Back,2.98,2,-2,1/2/2017
02 January   / Middlesbrough v Leicester / Match Odds,Leicester,Lay,3.45,2,2,1/2/2017
02 January   / Middlesbrough v Leicester / Match Odds,Leicester,Back,7.8,2,-2,1/2/2017
02 January   / Middlesbrough v Leicester / Match Odds,The Draw,Lay,1.2,5,-1,1/2/2017
02 January   / Middlesbrough v Leicester / Match Odds,Middlesbrough,Lay,14,0.42,0.42,1/2/2017
02 January   / Middlesbrough v Leicester / Match Odds,Leicester,Lay,17.5,1.56,1.56,1/2/2017
02 January   / Sunderland v Liverpool / Match Odds,Liverpool,Back,1.48,9,-9,1/2/2017
02 January   / Sunderland v Liverpool / Match Odds,Liverpool,Back,1.68,2,-2,1/2/2017
02 January   / Sunderland v Liverpool / Match Odds,Liverpool,Back,1.87,2,-2,1/2/2017
02 January   / Sunderland v Liverpool / Match Odds,Liverpool,Back,1.95,2,-2,1/2/2017
02 January   / Sunderland v Liverpool / Match Odds,Liverpool,Lay,1.15,14.02,14.02,1/2/2017
02 January   / Sunderland v Liverpool / Match Odds,Liverpool,Lay,1.15,7,7,1/2/2017
02 January   / Sunderland v Liverpool / Match Odds,Liverpool,Back,3.6,2,-2,1/2/2017
02 January   / West Ham v Man Utd / Both teams to Score?,Yes,Back,1.88,7,-7,1/2/2017
02 January   / West Ham v Man Utd / Both teams to Score?,No,Back,1.28,10.45,2.91,1/2/2017
03 January   / Bournemouth v Arsenal / Match Odds,Arsenal,Back,1.75,8,-8,1/3/2017
03 January   / Bournemouth v Arsenal / Match Odds,Arsenal,Back,2.86,2,-2,1/3/2017
03 January   / Bournemouth v Arsenal / Match Odds,Bournemouth,Lay,1.57,5,5,1/3/2017
03 January   / Bournemouth v Arsenal / Match Odds,The Draw,Back,4.8,2,7.6,1/3/2017
03 January   / Bournemouth v Arsenal / Match Odds,Bournemouth,Lay,1.27,4,4,1/3/2017
03 January   / Bournemouth v Arsenal / Match Odds,Arsenal,Lay,6.95,1.29,1.29,1/3/2017
03 January   / Bournemouth v Arsenal / Match Odds,Bournemouth,Back,12.5,2.29,-2.29,1/3/2017
03 January   / Bournemouth v Arsenal / Match Odds,The Draw,Back,1.24,0.93,0.22,1/3/2017
03 January   / Bournemouth v Arsenal / Match Odds,Bournemouth,Lay,13,0.31,0.31,1/3/2017
03 January   / C Palace v Swansea / 1st Goal,Swansea,Back,2.64,3,4.92,1/3/2017
03 January   / C Palace v Swansea / Match Odds,Swansea,Back,4.4,3,10.2,1/3/2017
03 January   / C Palace v Swansea / Match Odds,Swansea,Lay,4.4,2.93,-9.96,1/3/2017
03 January   / Las Palmas v Atletico Madrid / Match Odds,Atletico Madrid,Back,1.78,7,5.46,1/3/2017
03 January   / Las Palmas v Atletico Madrid / Match Odds,Atletico Madrid,Lay,1.24,6,-1.44,1/3/2017
03 January   / Las Palmas v Atletico Madrid / Match Odds,Atletico Madrid,Lay,1.03,4.82,-0.14,1/3/2017
04 January   / Tottenham v Chelsea / Match Odds,Tottenham,Lay,1.55,6,-3.3,1/4/2017
04 January   / Tottenham v Chelsea / Match Odds,Tottenham,Lay,1.14,5,-0.7,1/4/2017
04 January   / Tottenham v Chelsea / Next Goal,Chelsea,Back,3,2,-2,1/4/2017
05 January   / Athletic Bilbao v Barcelona / Match Odds,Athletic Bilbao,Lay,3.05,5,-10.25,1/5/2017
05 January   / Athletic Bilbao v Barcelona / Match Odds,Athletic Bilbao,Lay,1.65,3,-1.95,1/5/2017
05 January   / Athletic Bilbao v Barcelona / Match Odds,Athletic Bilbao,Lay,1.65,5,-3.25,1/5/2017
05 January   / Athletic Bilbao v Barcelona / Match Odds,Athletic Bilbao,Back,1.95,3,2.85,1/5/2017
05 January   / Athletic Bilbao v Barcelona / Match Odds,Athletic Bilbao,Lay,1.92,2,-1.84,1/5/2017
06 January   / Espanyol v Deportivo / Match Odds,Deportivo,Back,8.6,2,-2,1/6/2017
07 January   / Eibar v Atletico Madrid / Half Time,The Draw,Lay,1.19,5,-0.95,1/7/2017
07 January   / Eibar v Atletico Madrid / Half Time,The Draw,Lay,1.06,2,-0.12,1/7/2017
07 January   / Eibar v Atletico Madrid / Match Odds,Atletico Madrid,Back,1.78,7,5.46,1/7/2017
07 January   / Las Palmas v Sporting Gijon / Match Odds,Las Palmas,Back,1.86,5,4.3,1/7/2017
07 January   / Las Palmas v Sporting Gijon / Match Odds,Las Palmas,Back,2,2,2,1/7/2017
07 January   / Las Palmas v Sporting Gijon / Match Odds,Las Palmas,Lay,1.25,5,-1.25,1/7/2017
07 January   / Las Palmas v Sporting Gijon / Match Odds,Las Palmas,Lay,1.19,2,-0.38,1/7/2017
07 January   / Las Palmas v Sporting Gijon / Match Odds,Las Palmas,Lay,1.19,3,-0.57,1/7/2017
07 January   / Napoli v Sampdoria / Match Odds,Sampdoria,Lay,4.4,3,3,1/7/2017
07 January   / Napoli v Sampdoria / Match Odds,Sampdoria,Lay,2.88,2,2,1/7/2017
07 January   / Napoli v Sampdoria / Match Odds,The Draw,Lay,2.28,8.31,8.31,1/7/2017
07 January   / Napoli v Sampdoria / Match Odds,Napoli,Lay,1.89,9.97,-8.87,1/7/2017
07 January   / Sociedad v Sevilla / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.78,7,5.46,1/7/2017
07 January   / Sociedad v Sevilla / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,2.48,4.94,-7.31,1/7/2017
08 January   / AC Milan v Cagliari / Match Odds,AC Milan,Back,2.1,3,3.3,1/8/2017
08 January   / AC Milan v Cagliari / Match Odds,AC Milan,Back,4.4,2,6.8,1/8/2017
08 January   / AC Milan v Cagliari / Match Odds,AC Milan,Lay,1.06,12,-0.72,1/8/2017
08 January   / AC Milan v Cagliari / Match Odds,AC Milan,Lay,1.05,2.22,-0.11,1/8/2017
08 January   / Athletic Bilbao v Alaves / Match Odds,Athletic Bilbao,Back,1.92,4,-4,1/8/2017
08 January   / Athletic Bilbao v Alaves / Match Odds,Athletic Bilbao,Back,3.3,2,-2,1/8/2017
08 January   / Athletic Bilbao v Alaves / Next Goal,Alaves,Back,12.5,2,-2,1/8/2017
08 January   / Genoa v Roma / 1st Goal,Roma,Back,1.81,3,2.43,1/8/2017
08 January   / Genoa v Roma / 1st Goal,Roma,Back,1.85,2,1.7,1/8/2017
08 January   / Lazio v Crotone / Match Odds,Lazio,Back,1.62,7,4.34,1/8/2017
08 January   / Lazio v Crotone / Match Odds,Lazio,Back,1.94,3,2.82,1/8/2017
08 January   / Lazio v Crotone / Match Odds,Lazio,Back,3.95,2,5.9,1/8/2017
08 January   / Lazio v Crotone / Match Odds,Lazio,Lay,1.04,25,-1,1/8/2017
08 January   / Sassuolo v Torino / Match Odds,The Draw,Lay,1.2,5,-1,1/8/2017
08 January   / Sassuolo v Torino / Next Goal,Torino,Back,2.02,3,-3,1/8/2017
08 January   / Sassuolo v Torino / Next Goal,Torino,Lay,2.82,2.1,2.1,1/8/2017
08 January   / Udinese v Inter / 3rd Goal,Inter,Back,2.46,2,2.92,1/8/2017
08 January   / Villarreal v Barcelona / Half Time,The Draw,Lay,1.23,4,-0.92,1/8/2017
08 January   / Villarreal v Barcelona / Match Odds,Villarreal,Lay,2.06,2,2,1/8/2017
08 January   / Villarreal v Barcelona / Match Odds,Villarreal,Lay,1.4,2,2,1/8/2017
08 January   / Villarreal v Barcelona / Match Odds,Villarreal,Back,13,0.53,-0.53,1/8/2017
14 January   / Burnley v Southampton / Match Odds,Southampton,Back,4.3,2,-2,1/14/2017
14 January   / Burnley v Southampton / Match Odds,Burnley,Lay,1.29,2,-0.58,1/14/2017
14 January   / Hull v Bournemouth / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.98,5,4.9,1/14/2017
14 January   / Hull v Bournemouth / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,1.3,3,-0.9,1/14/2017
14 January   / Leganes v Athletic Bilbao / Match Odds,The Draw,Lay,1.15,6,-0.9,1/14/2017
14 January   / Leicester v Chelsea / Match Odds,Chelsea,Back,1.83,5,4.15,1/14/2017
14 January   / Montpellier v Dijon / Match Odds,Dijon,Lay,1.97,3,3,1/14/2017
14 January   / Montpellier v Dijon / Match Odds,Montpellier,Lay,9.4,0.61,0.61,1/14/2017
14 January   / Montpellier v Dijon / Match Odds,The Draw,Lay,1.24,4.76,-1.14,1/14/2017
14 January   / Sunderland v Stoke / Match Odds,Stoke,Lay,1.13,15,-1.95,1/14/2017
14 January   / Sunderland v Stoke / Match Odds,Sunderland,Lay,120,0.12,0.12,1/14/2017
14 January   / Sunderland v Stoke / Match Odds,The Draw,Lay,20,0.77,0.77,1/14/2017
15 January   / Caen v Lyon / Match Odds,Lyon,Back,1.72,6,-6,1/15/2017
15 January   / Caen v Lyon / Match Odds,Lyon,Back,2.96,2,-2,1/15/2017
15 January   / Caen v Lyon / Match Odds,Lyon,Lay,2.98,5.41,5.41,1/15/2017
15 January   / Caen v Lyon / Match Odds,Caen,Lay,1.35,3,-1.05,1/15/2017
15 January   / Celta Vigo v Alaves / Half Time,The Draw,Lay,1.17,6,-1.02,1/15/2017
15 January   / Celta Vigo v Alaves / Match Odds,Celta Vigo,Back,2.44,4,5.76,1/15/2017
15 January   / Celta Vigo v Alaves / Match Odds,Celta Vigo,Back,1.99,3,2.97,1/15/2017
