Market,Selection,BidType,Odds,Stake,ProfitLoss,Date 
18 October   / Leverkusen v Tottenham / Match Odds,The Draw,Lay,1.12,8,-0.96,10/18/2016
18 October   / CSKA Moscow v Monaco / Match Odds,The Draw,Lay,1.22,11.13,-2.45,10/18/2016
18 October   / CSKA Moscow v Monaco / Match Odds,The Draw,Back,7,2,12,10/18/2016
18 October   / Lyon v Juventus / Match Odds,Juventus,Lay,5.4,11.26,-49.54,10/18/2016
18 October   / CSKA Moscow v Monaco / Match Odds,Monaco,Lay,3.1,9.04,9.04,10/18/2016
18 October   / CSKA Moscow v Monaco / Match Odds,CSKA Moscow,Back,3.05,7.68,-7.68,10/18/2016
18 October   / Lyon v Juventus / Match Odds,Juventus,Back,1.77,5,3.85,10/18/2016
18 October   / Lyon v Juventus / Match Odds,Juventus,Back,1.77,30,23.1,10/18/2016
18 October   / CSKA Moscow v Monaco / Match Odds,The Draw,Back,3.35,3,7.05,10/18/2016
18 October   / CSKA Moscow v Monaco / Match Odds,Monaco,Back,2.86,2,-2,10/18/2016
18 October   / CSKA Moscow v Monaco / Match Odds,Monaco,Back,2.86,6,-6,10/18/2016
18 October   / CSKA Moscow v Monaco / Match Odds,The Draw,Back,3.35,4,9.4,10/18/2016
18 October   / CSKA Moscow v Monaco / Match Odds,Monaco,Back,2.86,10,-10,10/18/2016
19 October   / Rostov v Atletico Madrid / Match Odds,Atletico Madrid,Lay,1.06,65.42,-3.93,10/19/2016
19 October   / Rostov v Atletico Madrid / Match Odds,Atletico Madrid,Back,1.4,50,20,10/19/2016
20 October   / Dundalk v Zenit St Petersburg / Match Odds,Dundalk,Back,14.5,1.46,-1.46,10/20/2016
20 October   / Dundalk v Zenit St Petersburg / Match Odds,Dundalk,Lay,1.98,10,10,10/20/2016
20 October   / Red Bull Salzburg v Nice / Match Odds,Red Bull Salzburg,Back,60,0.17,-0.17,10/20/2016
20 October   / Red Bull Salzburg v Nice / Match Odds,Nice,Lay,1.19,11.47,-2.22,10/20/2016
20 October   / Red Bull Salzburg v Nice / Match Odds,The Draw,Back,3.65,2,-2,10/20/2016
20 October   / FK Krasnodar v Schalke / Match Odds,Schalke,Lay,1.56,18.22,-10.2,10/20/2016
20 October   / Red Bull Salzburg v Nice / Match Odds,Nice,Back,3.55,6,15.3,10/20/2016
20 October   / FK Krasnodar v Schalke / Match Odds,Schalke,Back,3.2,9,19.8,10/20/2016
22 October   / Arsenal v Middlesbrough / Match Odds,Arsenal,Back,2.92,2,-2,10/22/2016
22 October   / Ural v Spartak Moscow / Match Odds,The Draw,Back,7,2,-2,10/22/2016
22 October   / Arsenal v Middlesbrough / Match Odds,Arsenal,Back,1.71,10,-10,10/22/2016
22 October   / Ural v Spartak Moscow / Match Odds,The Draw,Back,5.7,2,-2,10/22/2016
22 October   / Ural v Spartak Moscow / Match Odds,Spartak Moscow,Back,2.1,10,11,10/22/2016
22 October   / Bournemouth v Tottenham / Match Odds,Tottenham,Back,2.46,6,-6,10/22/2016
23 October   / Paris St-G v Marseille / Match Odds,Paris St-G,Back,2.1,4,-4,10/23/2016
23 October   / Lokomotiv v CSKA Moscow / Match Odds,Lokomotiv,Lay,1.2,5,-1,10/23/2016
23 October   / Lokomotiv v CSKA Moscow / Match Odds,Lokomotiv,Lay,1.3,10,-3,10/23/2016
23 October   / Man City v Southampton / Match Odds,Southampton,Back,10.5,2.9,-2.9,10/23/2016
23 October   / Man City v Southampton / Match Odds,Southampton,Lay,3.05,10,10,10/23/2016
26 October   / Sassuolo v Roma / Match Odds,Sassuolo,Lay,2.36,9,9,10/26/2016
